,,answer_predicate,answer_predicate,answer_predicate,z,z,z,evidence,evidence,evidence,reason,reason,reason
DP_LO_135,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_141,ack-c,yes,no,yes,,,,"[1, 2]",[],[1],,,This implies some can.
DP_LO_141,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_141,deny-c,yes,yes,no,,,,[2],"[1, 2, 3]",[],,,
DP_LO_141,miti,no,no,no,,,,[],[],[],,,No future action.
DP_LO_141,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_141,no-need-address,yes,yes,yes,,,,"[1, 2]","[1, 2, 3]",[2],,misjudgment is not a problem because it won't happen at first place since criminals are easily identified,Action already happening.
DP_LO_141,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_141,trans1,no,no,no,,,,[],[],[],,,
DP_LO_141,trans2,no,no,no,,,,[],[],[],,,
DP_LO_141,x-pro-z,no,yes,yes,,ensure safety,eliminate these creature without spending time and money for them,[],[],[],,,
DP_LO_141,x-sup-z,yes,yes,yes,"threat to other human and society, spending time and money",spending time and money for them,threat to other human and society,[],[],[],,,
DP_LO_141,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_141,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_142,ack-c,no,yes,yes,,,,[],"[0, 1]",[3],,"I think this might be a very minor interp, but the first sent says ""the execution of the innocent is unendurable for their family members"", and the second sent mentioning that ""we must be empathetic to the family members"" makes me feel ""family members"" includes those of innocent individuals.",
DP_LO_142,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_142,deny-c,no,yes,no,,,,[],[3],[],,,
DP_LO_142,miti,yes,yes,no,continue to work to guarantee that the death penalty is only imposed when the burden of evidence is irrefutable,continue to work to guarantee that the death penalty is only imposed when the burden of evidence is irrefutable,,[],[],[],,,"I wanted to say 'continue to work to guarantee that the death penalty is only imposed when the burden of evidence is irrefutable' as Z, but the fact that they say 'continue' implies that it's an ongoing action (NNTA)"
DP_LO_142,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_142,no-need-address,no,yes,yes,,,,[],[3],"[3, 4]",,"Currently, every effort is already made to ensure that misjudgment doesn't happen",Already part of the process.
DP_LO_142,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_142,trans1,no,no,no,,,,[],[],[],,,
DP_LO_142,trans2,no,yes,yes,,scrutiny in death row cases,scrutiny in death row cases,[],[],[],,"Because DP exists, we have scrutiny in death row cases",
DP_LO_142,x-pro-z,no,no,no,,,,[],[],[],,,
DP_LO_142,x-sup-z,no,no,yes,,,death row inmates,[],[],[],,,
DP_LO_142,y-pro-opposite-z,no,no,yes,,,"families of death row inmates can always hope for an appeal, clemency or pardon for their loved one",[],[],[],,,
DP_LO_142,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_150,ack-c,yes,yes,yes,,,,[6],[6],[6],,,"If humans do make mistakes, and the death penalty is something controlled by humans, then that would mean misjudgment is a possibility."
DP_LO_150,ano-z,no,no,yes,,,Humans,[],[],[],,,
DP_LO_150,deny-c,no,yes,no,,,,[],[8],[],,misjudgment doesn't happen because DP is only given after considering the crime as extremely grievous,
DP_LO_150,miti,no,no,no,,,,[],[],[],,,
DP_LO_150,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_150,no-need-address,no,yes,no,,,,[],[8],[],,misjudgment doesn't happen because DP is only given after considering the crime as extremely grievous,
DP_LO_150,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_150,trans1,no,no,no,,,,[],[],[],,,
DP_LO_150,trans2,no,no,no,,,,[],[],[],,,
DP_LO_150,x-pro-z,no,yes,yes,,other culprits will stop committing the crime,culprits will stop committing the crime,[],[],[],,,
DP_LO_150,x-sup-z,yes,yes,yes,criminals to do more and more gruesome crimes,more and more gruesome crimes,heinous crime against humanity,[],[],[],,,
DP_LO_150,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_150,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_185,ack-c,yes,yes,yes,,,,"[2, 3]",[2],[2],"""Some"" has a scalar implicature.",eliminate people for whom there's no chance of misjudgment == acknowledge that misjudgment is possible,
DP_LO_185,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_185,deny-c,no,yes,no,,,,[],"[3, 4]",[],,misjudgment doesn't happen because criminals are easily identified,
DP_LO_185,miti,no,no,no,,,,[],[],[],,,No future action.
DP_LO_185,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_185,no-need-address,yes,yes,yes,,,,"[2, 3, 4]","[3, 4]","[3, 4]",,misjudgment is not a problem because it doesn't even happen because criminals are easily identified,Action already occurring.
DP_LO_185,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_185,trans1,no,no,no,,,,[],[],[],,,
DP_LO_185,trans2,no,no,yes,,,scientific processes and reliable witnesses,[],[],[],,,
DP_LO_185,x-pro-z,no,no,no,,,,[],[],[],,,
DP_LO_185,x-sup-z,yes,yes,yes,"spend money and time for their food, cloths, medical and security","government spend money and time for their food, cloths, medical and security","government spend money and time for their food, cloths, medical and security",[],[],[],,,
DP_LO_185,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_185,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_198,ack-c,no,yes,yes,,,,[],"[2, 3]","[2, 3]",,0.1%,Small chance.
DP_LO_198,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_198,deny-c,yes,yes,yes,,,,"[2, 3]","[1, 2, 3]","[2, 3]",,The intent of these sentences is probably that DNA evidence is strong so misjudgment won't happen at first place,
DP_LO_198,miti,no,no,no,,,,[],[],[],,,"I wanted to say 'DNA evidence and other evidence is strong', but it's already part of the process."
DP_LO_198,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_198,no-need-address,yes,yes,yes,,,,"[2, 3]","[2, 3, 4]","[1, 2, 3, 4]",,"dna evidence is strong, so misjudgment doesn't happen at all. Thus it's not a problem we should consider",Already part of the process.
DP_LO_198,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_198,trans1,no,no,no,,,,[],[],[],,,
DP_LO_198,trans2,no,no,yes,,,dNA evidence,[],[],[],,,
DP_LO_198,x-pro-z,yes,yes,yes,person who committed the crime will not be able to harm anyone else ever again,person who committed the crime will not be able to harm anyone else ever again,the person who committed the crime will not be able to harm anyone else ever again,[],[],[],,,
DP_LO_198,x-sup-z,no,yes,yes,,harm anyone else ever again,the person who committed the crime,[],[],[],,,
DP_LO_198,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_198,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_214,ack-c,no,no,no,,,,[],[],[],Not mentioned,,CA doesn't talk about <Y>
DP_LO_214,ano-z,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,deny-c,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,miti,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,no-evi,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,no-need-address,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,reverse-c,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,trans1,no,no,no,,,,[],[],[],,,
DP_LO_214,trans2,no,no,no,,,,[],[],[],,,
DP_LO_214,x-pro-z,yes,yes,yes,justice,justice,justice,[],[],[],,,
DP_LO_214,x-sup-z,no,yes,yes,,slap in the face to the victims abs their families,evil people,[],[],[],,,
DP_LO_214,y-pro-opposite-z,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_214,y-sup-same-z,no,no,no,,,,[],[],[],,,CA doesn't talk about <Y>
DP_LO_226,ack-c,yes,yes,yes,,,,[1],[1],"[1, 2]",,,
DP_LO_226,ano-z,no,no,yes,,,he feels like he murdered someone,[],[],[],,,
DP_LO_226,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_226,miti,yes,yes,yes,think that he is protecting the society and the next generation,must think that he has killed a person who is doing harm to the society,should not think or feel guilty about it,[],[],[],,,
DP_LO_226,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_226,no-need-address,no,no,no,,,,[],[],[],,,
DP_LO_226,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_226,trans1,no,no,no,,,,[],[],[],,,
DP_LO_226,trans2,no,no,no,,,,[],[],[],,,
DP_LO_226,x-pro-z,yes,yes,yes, think twice before they do the crimes,protecting the society and the next generation,protecting the society and the next generation from such person,[],[],[],,,
DP_LO_226,x-sup-z,no,yes,yes,,doing harm to the society,a person who is doing harm to the society,[],[],[],,,
DP_LO_226,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_226,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_228,ack-c,no,yes,yes,,,,[],[1],[1],,,
DP_LO_228,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_228,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_228,miti,no,yes,yes,,feel relief and a sense of peace,"should feel relief and a sense of peace, knowing that he is helping to carry out justice and safeguard innocent people from the worst kind of criminal",[],[],[],,,
DP_LO_228,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_228,no-need-address,no,no,no,,,,[],[],[],,,
DP_LO_228,reverse-c,yes,no,no,,,,[4],[],[],,,
DP_LO_228,trans1,no,no,no,,,,[],[],[],,,
DP_LO_228,trans2,yes,no,no,helping to carry out justice and safeguard innocent people from the worst kind of criminal,,,[],[],[],,,
DP_LO_228,x-pro-z,no,yes,yes,,protect society,deter future offenses,[],[],[],,,
DP_LO_228,x-sup-z,no,yes,yes,,future offenses,further harm by someone convicted of a crime like murder,[],[],[],,,
DP_LO_228,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_228,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_244,ack-c,no,no,no,,,,[],[],[],,,
DP_LO_244,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_244,deny-c,no,yes,yes,,,,[],"[2, 3, 4, 7]","[1, 2, 3, 4, 5, 6, 7]",,,
DP_LO_244,miti,no,no,no,,,,[],[],[],,,
DP_LO_244,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_244,no-need-address,yes,yes,yes,,,,[7],"[2, 3, 4, 5, 7]","[1, 2, 3, 4, 5, 6, 7]",,ES is not a problem since executioners who take part in DP don't feel bad ,
DP_LO_244,reverse-c,yes,no,no,,,,[7],[],[],,,
DP_LO_244,trans1,no,no,no,,,,[],[],[],,,
DP_LO_244,trans2,yes,no,yes,volunteers to be used to perform the role of executioner,,justice and in law and order,[],[],[],,,
DP_LO_244,x-pro-z,no,yes,yes,,justice,justice and in law and order,[],[],[],,,
DP_LO_244,x-sup-z,no,no,yes,,,devastation wrought on the victims of serious crime,[],[],[],,,
DP_LO_244,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_244,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_245,ack-c,no,no,no,,,,[],[],[],,,
DP_LO_245,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_245,deny-c,yes,yes,yes,,,,[4],"[2, 3, 4, 5]","[1, 2, 3, 4, 5, 6]",,,
DP_LO_245,miti,no,no,no,,,,[],[],[],,,
DP_LO_245,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_245,no-need-address,yes,yes,yes,,,,"[4, 5, 6]","[2, 3, 4, 5]","[2, 3, 4]",,ES is not a problem since the way the DP is set up actually suppresses ES,
DP_LO_245,reverse-c,no,yes,no,,,,[],"[2, 3, 4, 5]",[],,the way DP is set up (multiple people pushing the button together) actually suppresses ES,
DP_LO_245,trans1,no,no,yes,,,potential feelings of guilt and stress,[],[],[],,,
DP_LO_245,trans2,no,no,yes,,,multiple prison officers actually push the button that delivers the deadly punishment,[],[],[],,,
DP_LO_245,x-pro-z,no,no,yes,,,multiple prison officers actually push the button that delivers the deadly punishment,[],[],[],,,
DP_LO_245,x-sup-z,no,no,yes,,,potential feelings of guilt and stress,[],[],[],,,
DP_LO_245,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_245,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_254,ack-c,yes,yes,yes,,,,[1],[6],"[3, 4, 5, 6]",,,
DP_LO_254,ano-z,no,yes,yes,,their own doing,their own doing,[],[],[],,,
DP_LO_254,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_254,miti,yes,yes,yes,find a way to do it using AI,find a way to do it using AI,find a way to do it using AI,[],[],[],,,
DP_LO_254,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_254,no-need-address,yes,no,yes,,,,[6],[],"[3, 4, 5, 6, 7]",,,
DP_LO_254,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_254,trans1,no,no,no,,,,[],[],[],,,
DP_LO_254,trans2,no,no,no,,,,[],[],[],,,
DP_LO_254,x-pro-z,yes,yes,yes,make these criminals pay for their crimes,criminals pay for their crimes,make these criminals pay for their crimes,[],[],[],,,
DP_LO_254,x-sup-z,no,no,yes,,,criminals,[],[],[],,,
DP_LO_254,y-pro-opposite-z,no,no,yes,,,quit those jobs and moved on,[],[],[],,,
DP_LO_254,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_255,ack-c,yes,yes,yes,,,,[3],"[3, 6]","[3, 6]",less,"less cause, haven't got a lot of reason",
DP_LO_255,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_255,deny-c,no,yes,yes,,,,[],[1],[1],,doesn't even make the list,
DP_LO_255,miti,no,no,no,,,,[],[],[],,,
DP_LO_255,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_255,no-need-address,yes,yes,yes,,,,"[1, 5]",[3],"[1, 3, 6]",,ES isn't a problem since current technological improvements prevent ES from happening from the very beginning,
DP_LO_255,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_255,trans1,no,no,no,,,,[],[],[],,,
DP_LO_255,trans2,no,no,yes,,,all of the technological improvements in the mechanics of executions,[],[],[],,,
DP_LO_255,x-pro-z,no,yes,yes,,closure,closure,[],[],[],,,
DP_LO_255,x-sup-z,no,yes,yes,,victims who suffer,what the crime victims and their families endure,[],[],[],,,
DP_LO_255,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_255,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_263,ack-c,yes,yes,yes,,,,[1],"[1, 2, 3, 4]","[1, 3, 4]",,it implies that ES does exist,
DP_LO_263,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_263,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_263,miti,no,yes,yes,,executing a mass murderer could prevent the loss of countless other lives,executing a mass murderer,[],[],[],,"the benefits that ""executing a mass murderer could prevent the loss of countless other lives"" could mitigate the bad feeling of executioners",
DP_LO_263,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_263,no-need-address,yes,no,yes,,,,"[3, 4]",[],"[3, 4]",,,
DP_LO_263,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_263,trans1,no,no,yes,,,any feelings of guilt or responsibility,[],[],[],,,
DP_LO_263,trans2,no,no,yes,,,executing a mass murderer,[],[],[],,,
DP_LO_263,x-pro-z,yes,yes,yes,prevent the loss of countless other lives,prevent the loss of countless other lives,prevent the loss of countless other lives,[],[],[],,,
DP_LO_263,x-sup-z,no,yes,yes,,he loss of countless other lives,suffering of the victims and the safety of innocent members of society,[],[],[],,,
DP_LO_263,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_263,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_264,ack-c,yes,yes,yes,,,,[1],"[0, 1]",[1],,selected sentences imply that ES is currently a real problem,
DP_LO_264,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_264,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_264,miti,yes,yes,yes,think that they are serving the society and the world by killing the criminal who did only harm to the society,must think that they are serving the society and the world by killing the criminal who did only harm to the society,must think that they are serving the society,[],[],[],,,
DP_LO_264,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_264,no-need-address,no,no,no,,,,[],[],[],,,
DP_LO_264,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_264,trans1,no,no,no,,,,[],[],[],,,
DP_LO_264,trans2,no,no,yes,,,serving the society and the world,[],[],[],,,
DP_LO_264,x-pro-z,no,yes,yes,,saving and serving the country and the society,serving the society,[],[],[],,,
DP_LO_264,x-sup-z,yes,yes,yes,other criminals will start doing crime,criminals will start doing crime,criminal who did only harm to the society,[],[],[],,,
DP_LO_264,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_264,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_283,ack-c,yes,yes,yes,,,,[4],"[0, 1, 2, 4]","[1, 2, 4]",,,
DP_LO_283,ano-z,no,no,no,,,,[],[],[],,,
DP_LO_283,deny-c,no,no,no,,,,[],[],[],,,
DP_LO_283,miti,no,no,no,,,,[],[],[],,,
DP_LO_283,no-evi,no,no,no,,,,[],[],[],,,
DP_LO_283,no-need-address,yes,yes,yes,,,,"[4, 5]","[3, 4]","[1, 2, 3, 4]",,ES is not a problem that requires any action to be taken since executioners understand their duties.,
DP_LO_283,reverse-c,no,no,no,,,,[],[],[],,,
DP_LO_283,trans1,no,no,no,,,,[],[],[],,,
DP_LO_283,trans2,no,no,no,,,,[],[],[],,,
DP_LO_283,x-pro-z,no,yes,yes,,justice,the importance of seeing that justice is served,[],[],[],,,
DP_LO_283,x-sup-z,no,no,no,,,,[],[],[],,,
DP_LO_283,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
DP_LO_283,y-sup-same-z,no,no,no,,,,[],[],[],,,
DP_LO_300,ack-c,no,yes,no,,,,[],"[0, 1]",[],Not mentioned,while controversial,Doesn't talk about suffering.
DP_LO_300,ano-z,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,deny-c,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,miti,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,no-evi,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,no-need-address,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,reverse-c,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,trans1,no,no,no,,,,[],[],[],,,
DP_LO_300,trans2,no,no,no,,,,[],[],[],,,
DP_LO_300,x-pro-z,no,yes,yes,,prevents the re-offending of extremely brutal crimes,ensure these criminals are removed from society forever,[],[],[],,,
DP_LO_300,x-sup-z,yes,yes,yes, of extremely brutal crimes,the chance for the offending criminal to reenter society and re-offend,the re-offending of extremely brutal crimes,[],[],[],,,
DP_LO_300,y-pro-opposite-z,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
DP_LO_300,y-sup-same-z,no,no,no,,,,[],[],[],,,Doesn't talk about suffering.
HW_LO_011,ack-c,yes,yes,no,,,,[3],[3],[],,3 feels like saying that we do take time to do HW,
HW_LO_011,ano-z,no,no,yes,,,doing nothing or playing video games,[],[],[],,,
HW_LO_011,deny-c,no,yes,yes,,,,[],"[5, 6]",[3],,"HW does not suppress FT, but the amount of HW does",
HW_LO_011,miti,yes,yes,no,think the amount of homework,make a habit for healthy life,,[],[],[],,"I think it's a super minor interpretation, but I think you can say that the loss of FT by doing HW can be mitigated by the benefits of making a habit of a healthy life brought by HW (the loss of FT mitigated by psychological satisfaction)",
HW_LO_011,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_011,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_011,reverse-c,no,no,yes,,,,[],[],[3],,,"This sentence says that if you do homework, you don't waste time. Thus, it feels like it promotes free time."
HW_LO_011,trans1,no,no,yes,,,waste time on doing nothing or playing videogames,[],[],[],,,
HW_LO_011,trans2,no,no,yes,,,healthy life,[],[],[],,,
HW_LO_011,x-pro-z,yes,yes,yes,a habit for healthy life,a habit for healthy life,healthy life,[],[],[],,,
HW_LO_011,x-sup-z,no,yes,yes,,doing nothing or playing videogames,waste time on doing nothing or playing videogames,[],[],[],,"If students have HW, they will spend time doing HW instead of doing nothing or playing videogames",
HW_LO_011,y-pro-opposite-z,yes,yes,yes,waste time on doing nothing or playing videogames,doing nothing or playing videogames,doing nothing or playing videogames,[],[],[],,,
HW_LO_011,y-sup-same-z,no,yes,yes,,a worthy activity,Some,[],[],[],,,Some (students)
HW_LO_014,ack-c,no,no,no,,,,[],[],[],Not mentioned,,
HW_LO_014,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_014,deny-c,no,no,no,,,,[],[],[],"They say that it does not reduce the burden on teachers, but they do not say that it does not reduce students' free time.",,
HW_LO_014,miti,no,no,no,,,,[],[],[],,,
HW_LO_014,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_014,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_014,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_014,trans1,no,no,no,,,,[],[],[],,,
HW_LO_014,trans2,no,no,no,,,,[],[],[],,,
HW_LO_014,x-pro-z,no,yes,yes,,get a good review of the knowledge they learn in school,get a good review of the knowledge they learn in school,[],[],[],,,
HW_LO_014,x-sup-z,yes,yes,yes,students can't get a good review of the knowledge they learn in school,can't get a good review of the knowledge they learn in school,students who don't have the habit of reviewing after class,[],[],[],,,
HW_LO_014,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_014,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_021,ack-c,no,yes,no,,,,[],"[2, 3]",[],Not mentioned,"It implies HW does reduce FT, so abolishing HW gives students more FT, but they can't use FT wisely.",CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,ano-z,no,yes,yes,,meaningless things,"club activities ,cram school and so on",[],[],[],,"Kind of like a circle, if you have more FT, you do meaningless things, as a result, FT is reduced",
HW_LO_021,deny-c,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,miti,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_021,no-need-address,yes,no,yes,,,,[1],[],[1],,,It literally says 'not important'
HW_LO_021,reverse-c,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,trans1,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,trans2,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,x-pro-z,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,x-sup-z,no,no,no,,,,[],[],[],,,CA doesn't talk about homework. 'It is not important' seems to be focused only on 'more free time'
HW_LO_021,y-pro-opposite-z,yes,yes,yes,"net surfing, playing video game",meaningless things,meaningless things,[],[],[],,,
HW_LO_021,y-sup-same-z,no,no,yes,,,sleep,[],[],[],,,More free time => More meaningless things => suppress sleep
HW_LO_023,ack-c,no,no,yes,,,,[],[],"[2, 5]",,,Sentence 2 implies that homework takes up time. 
HW_LO_023,ano-z,no,yes,yes,,catch up with classes,take time to catch up with classes,[],[],[],,,
HW_LO_023,deny-c,no,yes,yes,,,,[],[8],[8],,,Last sentence implies that homework actually gives more free time.
HW_LO_023,miti,no,no,no,,,,[],[],[],,,"Wanted to say 'study efficiently', but already part of the process."
HW_LO_023,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_023,no-need-address,no,no,yes,,,,[],[],"[2, 5, 6, 7]",,,"My understanding of the CA is that because of homework now, there's nothing we have to do about free time because it's not an issue. But if the IA decides they want to ban homework, then free time will become a problem because students will need to use time to catch up with classes, etc."
HW_LO_023,reverse-c,yes,yes,yes,,,,[8],[8],[8],,,
HW_LO_023,trans1,yes,yes,yes, take time to decide contents and review knowledge,take time to decide contents and review knowledge,catch up with classes,[],[],[],,,
HW_LO_023,trans2,no,yes,yes,,study efficiently,study efficiently,[],[],[],,,
HW_LO_023,x-pro-z,yes,yes,yes,"facilitate our efficient review and preparation for classes such as practice of using some formulas, or writing kanji",study efficiently,facilitate our efficient review,[],[],[],,,
HW_LO_023,x-sup-z,no,yes,yes,,take time to decide contents and review knowledge,catch up with classes,[],[],[],,,
HW_LO_023,y-pro-opposite-z,no,no,no,,,,[],[],[],,,"I wanted to say 'catch up with classes', but the CA is written in a way in which free time is bad only if homework is banned. "
HW_LO_023,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_027,ack-c,yes,yes,yes,,,,[5],[2],[2],"By saying ""at school,"" they are implicitly acknowledging that homework reduces free time.",,
HW_LO_027,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_027,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_027,miti,no,yes,no,,enjoy interaction with friends at school,,[],[],[],,The loss of less free time can be mitigated by enjoying interaction with friends at school,
HW_LO_027,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_027,no-need-address,yes,no,yes,,,,"[1, 6]",[],[1],,,'Not important' which is criteria 3.
